H6693	צוּק	ṣûq	추크	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H1878	דָּשֵׁן	dāšēn	다셴	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H910	בָּדָד	bādād	바다드	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H3857	לָהַט	lāhaṭ	라하트	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H4809	מְרִיבָה	mĕrîbâ	메리바	네 모델 중 3개가 같은 음역안을 냈다. 학술 표기는 메리바다. 한국어 성경 관용 표기는 므리바다.
H5998	עָמַל	ʿāmal	아말	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H5042	נָבַע	nābaʿ	나바	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H1534	גַּלְגַּל	galgal	갈갈	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H5287	נָעַר	nāʿar	나아르	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H4688	מְצוֹלָה	mĕṣôlâ	메촐라	네 모델 중 3개가 같은 음역안을 냈다.
H7677	שַׁבָּתוֹן	šabbātôn	샤바톤	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H5601	סַפִּיר	sappîr	사피르	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H2134	זַךְ	zak	자크	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H6616	פָּתִיל	pātîl	파틸	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H7757	שׁוּל	šûl	슐	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H3508	יֹתֶרֶת	yōteret	요테레트	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H4033	מָגוּר	māgûr	마구르	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H8068	שָׁמִיר	šāmîr	샤미르	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H2834	חָשַׂף	ḥāśap	하사프	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H8263	שֶׁקֶץ	šeqeṣ	셰케츠	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H2292	חַגַּי	ḥaggay	하가이	네 모델 중 3개가 같은 음역안을 냈다. 학술 표기는 하가이다. 한국어 성경 관용 표기는 학개다.
H4435	מִלְכָּה	milkâ	밀카	네 모델 중 3개가 같은 음역안을 냈다. 학술 표기는 밀카다. 한국어 성경 관용 표기는 밀가다.
H6307	פַּדָּן	paddān	파단	네 모델 중 3개가 같은 음역안을 냈다. 학술 표기는 파단이다. 한국어 성경 관용 표기는 밧단이다.
H6175	עָרוּם	ʿārûm	아룸	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H937	בּוּז	bûz	부즈	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H615	אָסִיר	ʾāsîr	아시르	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H1769	דִּיבוֹן	dîbôn	디본	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H585	אֲנָחָה	ʾănāḥâ	아나하	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H6631	צֶאֱצָא	ṣeʾĕṣāʾ	체에차	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H4147	מוֹסֵר	môsēr	모세르	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H4288	מְחִתָּה	mĕḥittâ	메히타	네 모델 중 3개가 같은 음역안을 냈다.
H2545	חֲמוֹת	ḥămôt	하모트	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H632	אֱסָר	ʾĕsār	에사르	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G625	Ἀπολλῶς	Apollōs	아폴로스	네 모델이 독립으로 만든 음역안이 모두 일치했다. 학술 표기는 아폴로스다. 한국어 성경 관용 표기는 아볼로다.
G38	ἁγιασμός	hagiasmós	하기아스모스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G629	ἀπολύτρωσις	apolýtrōsis	아폴뤼트로시스	네 모델이 독립으로 만든 음역안이 모두 일치했다. υ는 '위'로 표기함
G2844	κοινωνός	koinōnós	코이노노스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G3114	μακροθυμέω	makrothyméō	마크로튀메오	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G5010	τάξις	táxis	탁시스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G882	Ἀχαΐα	Achaḯa	아카이아	네 모델이 독립으로 만든 음역안이 모두 일치했다. 학술 표기는 아카이아다. 한국어 성경 관용 표기는 아가야다.
G783	ἀσπασμός	aspasmós	아스파스모스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G5557	χρυσός	chrysós	크뤼소스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G3623	οἰκονόμος	oikonómos	오이코노모스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G3996	πενθέω	penthéō	펜테오	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G4205	πόρνος	pórnos	포르노스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G3199	μέλω	mélō	멜로	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G5339	φείδομαι	pheídomai	페이도마이	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G5583	ψεύστης	pseústēs	프슈스테스	네 모델 중 3개가 같은 음역안을 냈다.
G5579	ψεῦδος	pseûdos	프슈도스	네 모델 중 3개가 같은 음역안을 냈다.
G4969	σφάζω	spházō	스파조	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G4106	πλάνη	plánē	플라네	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G2865	κομίζω	komízō	코미조	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G399	ἀναφέρω	anaphérō	아나페로	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G1203	δεσπότης	despótēs	데스포테스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G2885	κοσμέω	kosméō	코스메오	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G766	ἀσέλγεια	asélgeia	아셀게이아	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G3579	ξενίζω	xenízō	크세니조	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G2479	ἰσχύς	ischýs	이스퀴스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G2005	ἐπιτελέω	epiteléō	에피텔레오	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G167	ἀκαθαρσία	akatharsía	아카타르시아	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G4124	πλεονεξία	pleonexía	플레오넥시아	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G2346	θλίβω	thlíbō	틀리보	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G1375	διωγμός	diōgmós	디오그모스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G626	ἀπολογέομαι	apologéomai	아폴로게오마이	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G5544	χρηστότης	chrēstótēs	크레스토테스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G873	ἀφορίζω	aphorízō	아포리조	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G3841	παντοκράτωρ	pantokrátōr	판토크라토르	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G5562	χωρέω	chōréō	코레오	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G618	ἀπολαμβάνω	apolambánō	아폴람바노	네 모델이 독립으로 만든 음역안이 모두 일치했다.
G4670	Σόδομα	Sódoma	소도마	네 모델이 독립으로 만든 음역안이 모두 일치했다. 개역개정 관용 표기는 '소돔'이나, 헬라어 표제형 SBL 음역은 소도마다.
